source_id,nss_solution_type,period,eccentricity
544437922821310976,SB1,0.9125539045838296,0.008915757285524727
354631639997248512,AstroSpectroSB1,88.32224590926093,0.599479706008523
271780724429515520,EclipsingBinary,0.27077576518058777,0.0
833976305493117952,SB1,45.43012307154729,0.4269662785784507
1052267915233159552,SB1,5.995604879185451,0.14031890314280338
849418332125923968,SB1,10.817799403813181,0.16179803361848757
799092516692729344,SB2,9.302209485248662,0.2401217058807671
1229482496409525888,SB1,7.159657766268439,0.02716204955540822
1035000055055287680,OrbitalTargetedSearchValidated,241.6272531745606,0.31423487553218543
1020666649676726784,SB1,2.860239471482362,0.011582610865650345
743703484570197760,SB1,7.567374177665222,0.10643035008843316
1047062762763978496,AstroSpectroSB1,21.334794006437644,0.20620984645245735
1522975066493444608,SB1,3.798396030620629,0.005316487704925969
1531978726694040832,SB1,7.898487341768892,0.032034402314227384
1531975359439680000,Orbital,133.37439448546337,0.7001480297717939
1322367486378683520,SB2C,0.942506045028543,
1798862458253738624,SB2,1.7412260834350042,0.02126301183340698
1797462505073680640,SB1,2.4891538598850382,0.014585025637217808
1960397110271260416,SB1,3.311089656752638,0.23538619753559867
2255777610534133888,SB1,7.44032031930102,0.015411227018319141
2181276832950235904,SB1,5.916531157055331,0.009339572806927952
2230258117452934144,SB2,27.086940360945736,0.03391674375045836
2013517334513395072,SB2,23.952234180722403,0.6304398466727217
2012143666526356864,SB1,6.216160088296252,0.11402354618433805
2028866512541484800,SB1,16.310727794620686,0.2958668292952667
2988067953953519872,SB2,17.753214397310085,0.5921589104054937
2938255026338304128,SB1,12.97370030598489,0.19620417517402722
3214545908798337920,SB2,31.16044678329605,0.0946281363268056
3430022837492958464,SB1,4.77215055486157,0.025435110539457857
4253017049075877120,OrbitalTargetedSearchValidated,21.001348222544543,0.0626001346089697
4253017049075877120,SB1,21.028141642508803,0.010711527699242905
4028787904716801792,SB1,1.1682398184909661,0.04007325133743135
4384327874463144320,SB2C,0.8364263149469379,
4357065758529792512,SB2,6.068703481885631,0.06749397084522275
4382926890490271232,SB1,6.873104170758296,0.13284990635905786
4396228404207883776,SB1,0.3064663147460349,0.1588295051253237
4956906938402079104,SB1,34.36959942328883,0.42284854619620255
4577547698516007552,SB1,13.520757566455526,0.06421118714820225
4748424759088727296,SB1,6.986809828875735,0.4338698810027824
4866014469661832320,AstroSpectroSB1,42.99711716165514,0.22269648422707963
5147248584605530880,SB2,7.10090275504861,0.03360737429590346
5039360964635345536,SB1,42.91080550419039,0.1463361035283687
5232140399928617472,SB1,2.1919089050772795,0.08361102286051666
5332567489930620672,Orbital,156.64089642692534,0.5880748838680558
5290626928097275392,SB1,19.301552403339638,0.3827770205326091
5055723587443420928,Orbital,546.5715301226539,0.5135216109381576
5452616189507521152,AstroSpectroSB1,61.29408406216802,0.2833075494751517
6013974599850280448,SB2,4.329215921944567,0.023478311679484186
5852384392517322880,SB1,5.690805814837422,0.02183463488626537
5781145109929381376,SB2,1.8104706584074841,0.028704620765256223
5847607422432518784,SB1,38.662412501318364,0.4741549610981328
6409197249907216128,AstroSpectroSB1,175.199865529372,0.6068558268368789
6352498527639431808,SB2C,4.370236719952144,
6432810808307796352,SB1,31.40580601645951,0.3711856890248427
6358356519433190656,SB2,7.091813609820465,0.029065228228951998
6609340148918886144,AstroSpectroSB1,54.72349552330246,0.035798528087915435
6609180479214817280,SB2,9.084431245316827,0.1920093988698466
