source_id,nss_solution_type,significance
1340494309951729664,Acceleration7,26.736471
1819076056118564992,Acceleration7,39.62071
2259765951523900032,Acceleration7,23.642849
4290328769993455744,Acceleration7,73.25999
4402296402722939008,Acceleration7,24.871326
4541240862489754112,Acceleration7,24.586098
5233523409454374272,Acceleration7,30.443167
6139385102270551680,Acceleration7,51.077187
