source_id,ruwe,non_single_star,radial_velocity,radial_velocity_error,rv_nb_transits,rv_renormalised_gof,rv_chisq_pvalue,rv_amplitude_robust,rv_template_teff,phot_g_mean_mag
347092735441128448,1.287741,0,10.446244,1.3617613,15,2.8404138,0.002136527,15.924039,4500.0,12.655907
362966384810896384,1.0454751,0,-15.574614,0.9001267,22,1.3631499,0.03339192,13.574669,4750.0,12.457743
367204241927159552,1.0230262,0,-1.2967687,4.378431,17,,,,3900.0,14.808773
59901913173069056,0.866632,0,11.568584,0.44850442,9,0.0131244315,0.51643896,2.827814,6250.0,10.226436
192190410585966592,1.0054203,0,13.320847,0.23170462,17,-0.71992284,0.68738896,2.4684505,6250.0,9.629718
630692793249541504,0.9631524,0,,,,,,,,9.550999
650210052357446784,1.1292404,0,-27.242218,1.6893728,30,,,,3600.0,14.222903
660892426295541632,1.0592304,0,-22.058409,2.6825335,21,,,,3300.0,14.479358
142405279992781696,0.9420794,0,6.5569787,0.30995736,9,-0.20222883,0.56513184,2.2216,5750.0,10.426415
212436852058969472,1.0012169,0,-29.64095,0.9552601,31,,,,4500.0,13.336937
229120016866056064,1.2998543,0,-51.79921,0.39882675,21,0.2478736,0.28514045,5.199253,5000.0,11.573013
238437999956688128,1.0869697,0,-25.00621,2.6373076,11,,,,3800.0,14.115265
274314720771783296,1.1087128,0,,,,,,,,15.080966
333112410735588608,1.1479542,0,-25.725073,0.1212015,4,-1.9710685,0.97462875,0.16036415,5250.0,8.737712
386091996265106944,0.8728509,0,,,,,,,,8.701095
419281996003276032,1.0396506,0,-22.150127,4.4570727,27,,,,3900.0,15.2744
515446897877603968,1.0149173,0,4.9872284,2.7963634,27,,,,4250.0,14.179607
542818999326601984,1.5226632,0,15.4015875,2.0217235,25,,,,3700.0,14.255476
547488689632466816,0.8610727,0,2.5575273,0.5891995,27,-0.43710855,0.5804604,11.998262,5000.0,12.094623
556016299954244352,0.9017958,0,,,,,,,,11.228202
89818147096036608,1.3409654,0,27.501244,0.5242544,10,-0.6366601,0.7699971,4.004553,4000.0,12.279392
128620870218113536,1.10128,0,-20.204826,1.4030396,10,0.34280333,0.9999179,1.0439568,4750.0,12.118671
61557468448003968,1.1336032,0,14.846453,4.0833373,13,,,,3400.0,14.921372
112327142984566272,1.0253338,0,-26.529247,0.17462784,11,1.1296183,0.07758012,1.2073135,6250.0,8.156865
173675768644363520,0.9791346,0,-2.4184978,2.3743916,16,,,,3700.0,14.38216
609255816905687680,1.0392874,0,26.338072,1.0222822,23,2.4103203,0.006962973,15.485857,4500.0,13.039169
609256817634478720,0.8646093,0,25.859833,0.23630448,23,0.7320899,0.062044326,2.839037,7500.0,7.9244385
657690644139606400,0.9896988,0,-22.303564,1.8967791,10,1.2889203,0.13918264,15.423346,4000.0,12.892966
142392876127313280,1.2608677,0,-2.7605877,8.583011,13,,,,3300.0,14.226919
235724881995995904,1.0803721,0,33.312714,0.3246388,7,-0.03841865,0.556685,1.6256752,6750.0,8.848467
282703788331666816,0.9730386,0,15.637825,1.1273822,30,,,,4250.0,13.277903
287980516431427200,1.0370425,0,-77.401855,0.20046552,27,-0.13906501,0.30111346,2.8296814,4750.0,10.593901
389257181004439680,1.0315102,0,-1.6036212,1.4582144,22,5.4225354,5.0085014E-10,22.41182,4750.0,12.271673
401261618893617792,1.431704,0,14.58467,0.5742315,23,1.4049923,0.0756227,8.747474,4750.0,11.884682
405157703989646208,1.45293,0,-13.526529,0.37278932,39,-0.7936788,0.6807018,7.333973,5000.0,12.179873
452483089633044736,1.3140877,0,12.679177,0.38515964,24,-0.82326144,0.6597546,5.891157,3500.0,12.122259
453620637490316800,1.1877613,0,-4.9590893,2.666817,21,,,,5500.0,14.150821
459159697896389504,0.99570096,0,3.2430174,0.16010346,15,-0.77325535,0.5659558,1.1116695,4750.0,9.928811
540540055320100224,1.2713362,0,-0.35603407,1.5304009,30,,,,3600.0,14.281379
546883722014750592,0.9466594,0,-5.590258,1.3833486,25,,,,3900.0,13.791538
560228047964634624,1.1343223,0,-21.272842,1.0508608,25,,,,3600.0,13.690621
20803348408743296,1.0626276,0,12.761273,1.8044127,12,,,,4500.0,13.287762
22502677989165824,1.1606158,0,10.455719,2.3749282,10,1.8008327,0.033975866,22.711027,4500.0,12.721568
314031172413231232,1.0647783,0,-9.249576,1.4084607,15,,,,4500.0,13.265108
372066046121799168,1.0531524,0,8.557783,1.3607855,12,0.3965058,0.40618438,15.2823305,4250.0,13.221119
61557468448004224,1.1507385,0,11.226068,2.0649724,11,,,,3400.0,13.806926
138363715767409792,1.0229326,0,8.825238,2.4402204,10,,,,3900.0,13.724536
640400377115920896,1.4701626,0,-39.535263,0.3195317,36,-0.42332774,0.89668715,6.6355743,4250.0,12.10541
648998734141447296,0.96127,0,20.524042,0.1266339,22,0.13497414,0.17430073,0.9359684,5500.0,7.552212
233369938547945600,1.066692,0,33.277473,5.2837024,24,,,,3400.0,15.7603655
282273226449842048,1.0684447,0,,,,,,,,15.552943
282354418511810816,1.1599365,0,41.617073,0.4199675,28,-0.3253415,0.86906666,5.20253,5750.0,10.72859
282703788331666304,0.9933748,0,16.63525,1.129345,34,,,,4500.0,13.414741
287980512135232512,1.1538376,0,-77.17319,0.39801928,28,-1.2296774,0.9206424,8.735626,4000.0,12.237927
389531685252473216,1.1630583,0,-2.1325157,2.4390094,29,,,,3400.0,13.969172
407807389572138368,0.9238414,0,-9.269591,0.4491068,17,1.4451984,0.07973285,5.7808247,5750.0,10.770191
424727705298716032,1.1081355,0,-27.733887,3.5540438,19,,,,3400.0,14.882161
433710474771804288,1.2337013,0,-10.168838,2.731919,13,,,,3300.0,13.857923
435772952428714368,0.98042494,0,5.045956,0.7743393,11,0.08003414,0.39667803,6.7059264,4750.0,11.855605
477172726309717120,1.0127158,0,,,,,,,,15.762846
484876454530005248,0.96093184,0,45.69315,6.432562,43,44.6727,0.0,145.64215,4500.0,12.515436
499211646614554368,1.3303503,0,-11.506805,0.9319087,26,,,,4000.0,12.839567
572577831287553664,0.9496547,0,-22.03215,0.24102665,19,0.2762381,0.22856265,2.9418526,5500.0,10.609141
89810794112224896,1.0300307,0,27.589884,4.106971,11,,,,5500.0,14.345515
109628219892375680,1.0639169,0,-10.440691,4.3094378,9,,,,3900.0,14.378629
305279850129931520,1.1660264,0,,,,,,,,15.768867
328755007498367232,1.0765865,0,2.961026,0.58230335,14,0.09743833,0.3453609,5.2517414,4750.0,11.802133
368613029854798592,2.8723183,0,0.77640724,5.433599,18,12.199265,0.003015862,23.748405,3500.0,13.44136
385942634482613120,1.0286914,0,-17.91576,9.568093,29,,,,3600.0,14.729831
148064771281926528,1.0258309,0,19.660166,1.1725954,9,0.8861429,0.31929907,9.91392,4500.0,12.337038
193871422128204672,1.2437658,0,0.6261782,2.5794861,8,,,,4500.0,13.388354
634332863932416384,1.3554401,0,15.376272,0.24130449,23,0.45567575,0.18374336,3.1125374,5250.0,10.922952
208739087077678720,1.0026982,0,,,,,,,,9.644428
248810174176448000,0.9442547,0,-17.85159,5.2982874,24,26.187414,0.0,79.94266,4250.0,12.290327
282354418512592384,1.154089,0,40.86773,1.6138917,28,,,,5500.0,13.43851
359860814217600896,1.2046239,0,22.823006,0.3878688,11,-1.5001955,0.9026723,3.1879883,4750.0,11.457157
389257322741446528,1.0764128,0,-2.0179617,1.6787515,21,,,,4250.0,13.509241
416013251008903424,0.9011406,0,-9.470728,10.968484,29,71.148544,0.0,140.90009,5500.0,11.001213
420186687915224704,1.1154928,0,-31.428091,4.190208,19,,,,3100.0,15.622287
490129577491428608,1.1080961,0,13.910311,3.0751176,35,,,,3200.0,15.410609
549583362361436288,0.8545106,0,-2.3191082,0.23079191,21,1.5639633,0.015477855,2.4804955,5500.0,10.071659
565169459376414592,0.85268134,0,-16.942095,3.1319666,9,,,,3300.0,14.406208
