angDist,sid,ra,dec,_RAJ2000,_DEJ2000,recno,Sp,ObsID,IRFM,ID,objID,HRV,e_HRV,R,cHRV,Chi2,S/N,Simbad,P,S,T,w_P,w_S,w_T,RAJ2000,DEJ2000,Obs.date,Obs.st,Obs.end,Nrep
1.033999,4885245099830257920,66.15781959,-29.25051445,66.1575,-29.2505833333,49243,1,20041230_0414m29_110,1,J042437.8-291502,T6463_01294_1,54.6,0.77,81.91,1.45,665.3,49.6,Simbad,n,e," ",0.9184,0.081579,,66.1575,-29.25058333,2004-12-30,09:19:35.0,11:16:02.0,2
1.161477,4885245099830257920,66.15781959,-29.25051445,66.1574583333,-29.2505833333,346567,1,20091006_0432m30_056,1,J042437.8-291502,J042437.7-291502,55.55,1.13,56.22,-10.45,794.1,44.46,Simbad,n,e," ",0.7996,0.20036,,66.15745833,-29.25058333,2009-10-06,17:33:52.0,18:55:15.0,2
1.033523,4711108914988727808,23.31645549,-64.86789003,23.3158333333,-64.8677777778,208722,1,20070912_0139m64_042,1,J013315.8-645204,J013315.7-645204,-16.58,0.67,90.18,-1.05,843.1,66.0,Simbad,n," "," ",1.0,,,23.31583333,-64.86777778,2007-09-12,15:03:28.0,16:05:17.0,1
1.076521,4711108949348465152,23.3645339,-64.85593841,23.363875,-64.8558333333,273203,1,20080917_0139m64_030,1,J013327.3-645121,J013327.3-645121,-15.53,1.14,57.31,-0.41,462.3,46.14,Simbad,n," "," ",1.0,,,23.363875,-64.85583333,2008-09-17,16:41:01.0,17:58:35.0,2
1.076521,4711108949348465152,23.3645339,-64.85593841,23.363875,-64.8558333333,333154,1,20090811_0139m64_029,1,J013327.3-645121,J013327.3-645121,-13.07,1.1,62.81,-1.25,759.2,56.87,Simbad,n," "," ",1.0,,,23.363875,-64.85583333,2009-08-11,16:24:38.0,17:59:36.0,2
